emp_no,dept_no,dept_name,title,to_date,birth_date
10001,d005,Development,Senior Engineer,9999-01-01,1953-09-02
10004,d004,Production,Engineer,9999-01-01,1954-05-01
10005,d003,Human Resources,Senior Staff,9999-01-01,1955-01-21
10006,d005,Development,Senior Engineer,9999-01-01,1953-04-20
10009,d006,Quality Management,Assistant Engineer,9999-01-01,1952-04-19
10018,d004,Production,Engineer,9999-01-01,1954-06-19
10019,d008,Research,Staff,9999-01-01,1953-01-23
10020,d004,Production,Engineer,9999-01-01,1952-12-24
10022,d005,Development,Engineer,9999-01-01,1952-07-08
10023,d005,Development,Engineer,9999-01-01,1953-09-29
10026,d004,Production,Engineer,9999-01-01,1953-04-03
10035,d004,Production,Engineer,9999-01-01,1953-02-08
10047,d004,Production,Engineer,9999-01-01,1952-06-29
10051,d004,Production,Engineer,9999-01-01,1953-07-28
10053,d007,Sales,Senior Staff,9999-01-01,1954-09-13
10057,d005,Development,Engineer,9999-01-01,1954-05-30
10058,d001,Marketing,Senior Staff,9999-01-01,1954-10-01
10059,d002,Finance,Senior Staff,9999-01-01,1953-09-19
10063,d004,Production,Senior Engineer,9999-01-01,1952-08-06
10066,d005,Development,Assistant Engineer,9999-01-01,1952-11-13
10067,d006,Quality Management,Engineer,9999-01-01,1953-01-07
10070,d008,Research,Technique Leader,9999-01-01,1955-08-20
10072,d005,Development,Engineer,9999-01-01,1952-05-15
10074,d005,Development,Technique Leader,9999-01-01,1955-08-28
10076,d005,Development,Senior Engineer,9999-01-01,1952-06-13
10088,d009,Customer Service,Senior Staff,9999-01-01,1954-02-25
10091,d005,Development,Engineer,9999-01-01,1955-10-04
10096,d004,Production,Engineer,9999-01-01,1954-09-16
10097,d008,Research,Senior Staff,9999-01-01,1952-02-27
10100,d003,Human Resources,Senior Staff,9999-01-01,1953-04-21
10103,d005,Development,Engineer,9999-01-01,1953-11-26
10106,d004,Production,Engineer,9999-01-01,1952-08-29
10126,d009,Customer Service,Senior Staff,9999-01-01,1954-08-07
10127,d005,Development,Senior Engineer,9999-01-01,1952-02-24
10129,d005,Development,Technique Leader,9999-01-01,1955-12-02
10130,d004,Production,Senior Engineer,9999-01-01,1955-04-27
10134,d004,Production,Engineer,9999-01-01,1953-04-15
10138,d006,Quality Management,Engineer,9999-01-01,1955-04-24
10150,d005,Development,Engineer,9999-01-01,1955-01-29
10153,d005,Development,Assistant Engineer,9999-01-01,1955-12-15
10157,d005,Development,Senior Engineer,9999-01-01,1954-04-23
10159,d006,Quality Management,Senior Engineer,9999-01-01,1955-03-03
10160,d007,Sales,Senior Staff,9999-01-01,1953-10-18
10163,d003,Human Resources,Senior Staff,9999-01-01,1952-09-17
10166,d005,Development,Engineer,9999-01-01,1953-05-10
10183,d009,Customer Service,Staff,9999-01-01,1954-10-17
10194,d002,Finance,Senior Staff,9999-01-01,1954-01-29
10196,d002,Finance,Staff,9999-01-01,1954-01-27
10198,d005,Development,Engineer,9999-01-01,1953-05-28
10203,d008,Research,Senior Staff,9999-01-01,1955-07-27
10205,d004,Production,Senior Engineer,9999-01-01,1953-05-20
10207,d005,Development,Engineer,9999-01-01,1955-05-28
10215,d007,Sales,Senior Staff,9999-01-01,1954-04-02
10219,d005,Development,Senior Staff,9999-01-01,1952-05-02
10224,d004,Production,Engineer,9999-01-01,1954-05-17
10228,d001,Marketing,Senior Staff,9999-01-01,1953-04-21
10230,d008,Research,Senior Staff,9999-01-01,1955-09-11
10233,d003,Human Resources,Senior Staff,9999-01-01,1954-04-01
10239,d001,Marketing,Staff,9999-01-01,1955-03-31
10240,d006,Quality Management,Engineer,9999-01-01,1952-04-01
10248,d007,Sales,Senior Staff,9999-01-01,1955-09-24
10249,d008,Research,Engineer,9999-01-01,1954-06-10
10258,d005,Development,Assistant Engineer,9999-01-01,1955-12-12
10262,d007,Sales,Staff,9999-01-01,1955-08-04
10272,d002,Finance,Staff,9999-01-01,1954-11-30
10281,d006,Quality Management,Engineer,9999-01-01,1953-05-13
10282,d004,Production,Assistant Engineer,9999-01-01,1953-11-27
10283,d005,Development,Engineer,9999-01-01,1953-07-08
10284,d004,Production,Engineer,9999-01-01,1954-04-08
10295,d002,Finance,Senior Staff,9999-01-01,1953-01-13
10298,d004,Production,Staff,9999-01-01,1954-07-06
10306,d007,Sales,Staff,9999-01-01,1953-06-02
10307,d006,Quality Management,Engineer,9999-01-01,1955-07-20
10322,d005,Development,Engineer,9999-01-01,1954-05-28
10325,d003,Human Resources,Senior Staff,9999-01-01,1953-01-12
10326,d008,Research,Staff,9999-01-01,1953-02-13
10328,d005,Development,Engineer,9999-01-01,1955-06-28
10333,d005,Development,Engineer,9999-01-01,1953-04-27
10340,d001,Marketing,Senior Staff,9999-01-01,1952-08-20
10343,d006,Quality Management,Senior Engineer,9999-01-01,1954-11-01
10347,d008,Research,Staff,9999-01-01,1953-10-03
10349,d009,Customer Service,Senior Staff,9999-01-01,1954-04-29
10353,d001,Marketing,Senior Staff,9999-01-01,1953-01-15
10355,d007,Sales,Staff,9999-01-01,1952-12-10
10356,d008,Research,Senior Staff,9999-01-01,1952-08-12
10358,d005,Development,Technique Leader,9999-01-01,1953-04-08
10364,d004,Production,Senior Engineer,9999-01-01,1954-09-21
10367,d001,Marketing,Senior Staff,9999-01-01,1955-12-24
10372,d004,Production,Technique Leader,9999-01-01,1952-04-08
10377,d004,Production,Senior Engineer,9999-01-01,1954-08-19
10387,d009,Customer Service,Senior Staff,9999-01-01,1952-11-03
10388,d007,Sales,Staff,9999-01-01,1953-03-29
10389,d005,Development,Technique Leader,9999-01-01,1953-03-24
10396,d005,Development,Senior Engineer,9999-01-01,1955-08-21
10397,d004,Production,Technique Leader,9999-01-01,1955-11-11
10402,d006,Quality Management,Technique Leader,9999-01-01,1953-07-23
10404,d005,Development,Engineer,9999-01-01,1955-04-27
10407,d007,Sales,Senior Staff,9999-01-01,1955-07-05
10413,d003,Human Resources,Senior Staff,9999-01-01,1952-05-05
10418,d001,Marketing,Staff,9999-01-01,1952-06-29
10422,d006,Quality Management,Engineer,9999-01-01,1954-06-02
10426,d005,Development,Technique Leader,9999-01-01,1955-12-28
10429,d005,Development,Senior Engineer,9999-01-01,1952-02-13
10432,d009,Customer Service,Senior Staff,9999-01-01,1953-11-06
10433,d006,Quality Management,Assistant Engineer,9999-01-01,1954-09-02
10451,d004,Production,Assistant Engineer,9999-01-01,1952-10-06
10453,d009,Customer Service,Senior Staff,9999-01-01,1953-07-19
10463,d007,Sales,Staff,9999-01-01,1954-05-20
10477,d005,Development,Engineer,9999-01-01,1952-12-07
10486,d006,Quality Management,Engineer,9999-01-01,1952-08-24
10494,d004,Production,Engineer,9999-01-01,1953-12-21
10497,d004,Production,Engineer,9999-01-01,1953-06-09
10499,d007,Sales,Senior Staff,9999-01-01,1953-10-04
10503,d004,Production,Engineer,9999-01-01,1952-05-17
10504,d007,Sales,Staff,9999-01-01,1953-04-07
10509,d007,Sales,Senior Staff,9999-01-01,1953-10-03
10512,d003,Human Resources,Senior Staff,9999-01-01,1955-11-16
10517,d007,Sales,Senior Staff,9999-01-01,1953-06-18
10522,d003,Human Resources,Senior Staff,9999-01-01,1955-07-24
10529,d004,Production,Assistant Engineer,9999-01-01,1952-11-21
10531,d003,Human Resources,Staff,9999-01-01,1954-06-11
10542,d005,Development,Senior Engineer,9999-01-01,1955-01-05
10548,d001,Marketing,Senior Staff,9999-01-01,1952-06-12
10552,d004,Production,Senior Engineer,9999-01-01,1953-03-25
10564,d004,Production,Engineer,9999-01-01,1955-04-14
10568,d007,Sales,Staff,9999-01-01,1953-12-02
10586,d004,Production,Engineer,9999-01-01,1954-06-23
10593,d004,Production,Engineer,9999-01-01,1952-07-24
10596,d007,Sales,Senior Staff,9999-01-01,1954-01-24
10603,d007,Sales,Staff,9999-01-01,1955-08-02
10610,d005,Development,Engineer,9999-01-01,1955-06-24
10614,d009,Customer Service,Engineer,9999-01-01,1953-07-11
10615,d002,Finance,Senior Staff,9999-01-01,1955-08-30
